Downloaded from wid.world on 13-04-2025 at 11:14:32
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1980;Unnamed: 4
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1981;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1982;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1983;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1984;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1985;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1986;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1987;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1988;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1989;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1990;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1991;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1992;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1993;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1994;
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1995;0.0243
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1996;0.0243
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1997;0.0243
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1998;0.0243
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1999;0.0243
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2000;0.0243
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2001;0.0243
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2002;0.0233
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2003;0.0238
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2004;0.0249
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2005;0.0226
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2006;0.0226
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2007;0.0242
Brazil ;"shweal_p0p50_z_BR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2008;0.0238
